Link, Associated  Text 
 https://boston.craigslist.org/gbs/fee/d/amazing-dog-friendly-2-bed/6317213681.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/amazing-dog-friendly-2-bed/6317213681.html	,"Amazing  Dog  friendly-2  bed  with  PKG,  Nov/1-Harvard  ,  Inman,  out  door," 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317213658.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317213658.html	,"NO  FEE!  Brand  New  2  Bed,  Deleaded,  Pet  Negotiable,  Walk  to  Public  T" 
 https://boston.craigslist.org/gbs/fee/d/wow-35-bedroom-inman-union/6317213627.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/wow-35-bedroom-inman-union/6317213627.html	,"WOW!!!  3.5  BEDROOM/INMAN/UNION/MIT/HARVARD/CATS  ALLOWED" 
 https://boston.craigslist.org/nos/fee/d/in-law-apartment-in-wilmington/6317213587.html	,"None" 
 https://boston.craigslist.org/nos/fee/d/in-law-apartment-in-wilmington/6317213587.html	,"In-Law  Apartment  in  Wilmington" 
 https://boston.craigslist.org/gbs/fee/d/sprawling-2br-35ba-fully/6278802358.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/sprawling-2br-35ba-fully/6278802358.html	,"Sprawling  2br  3.5ba,  Fully  Furnished,  Luxurious  Finishes  and  Design" 
 https://boston.craigslist.org/gbs/fee/d/clean-modern-updates-granite/6278787992.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/clean-modern-updates-granite/6278787992.html	,"Clean,  Modern  Updates,  Granite,  Dishwasher,  Laundry  Onsite!" 
 https://boston.craigslist.org/gbs/fee/d/bright-and-sunny-1-bed-on/6317206102.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/bright-and-sunny-1-bed-on/6317206102.html	,"Bright  and  Sunny  1  Bed  on  Myrtle  St  -  Recently  Updated" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317213122.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317213122.html	,"2  Bed  Tewksbury  Brand  New  Luxury  &  Amenities-  1  Month  Free!" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-unreal-sullivan-4br/6317213108.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-unreal-sullivan-4br/6317213108.html	,"NO  FEE!  Unreal  Sullivan  4BR  -  BRAND  NEW  -  Parking,  Pets  OK" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-stainless/6278152607.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-stainless/6278152607.html	,"Modern  Upgrades,  Stainless  Steel,  Hardwood,  Granite,  Laundry  Onsite!" 
 https://boston.craigslist.org/gbs/fee/d/1-bed-on-queensberry-st-with/6317201798.html	,"None" 
